Time,Event
00:16.672,Bezarag is afflicted by  Mark of the Faceless  from General Vezax
00:26.662,General Vezax's Mark of the Faceless  fades from Bezarag
00:39.224,Droob is afflicted by  Mark of the Faceless  from General Vezax
00:41.787,"General Vezax Mark of the Faceless Ratherbebelf (A: 4850) (U: 5000, M: 150, 3.00%)"
00:41.787,"General Vezax Mark of the Faceless Shambby (A: 4850) (U: 5000, M: 150, 3.00%)"
00:41.787,"General Vezax Mark of the Faceless Dellbelphine 4850 (U: 5000, M: 150, 3.00%)"
00:41.787,"General Vezax Mark of the Faceless Padparadcha 4850 (U: 5000, M: 150, 3.00%)"
00:41.787,"General Vezax Mark of the Faceless Apraxial (A: 4656) (U: 5000, M: 344, 6.88%)"
00:43.059,"General Vezax Mark of the Faceless Shambby 2145 (A: 2705) (U: 5000, M: 150, 3.00%)"
00:43.059,"General Vezax Mark of the Faceless Apraxial 1517 (A: 3139) (U: 5000, M: 344, 6.88%)"
00:43.059,"General Vezax Mark of the Faceless Ratherbebelf 2297 (A: 2553) (U: 5000, M: 150, 3.00%)"
00:43.059,"General Vezax Mark of the Faceless Dellbelphine 4850 (U: 5000, M: 150, 3.00%)"
00:43.059,"General Vezax Mark of the Faceless Padparadcha 4850 (U: 5000, M: 150, 3.00%)"
00:44.292,"General Vezax Mark of the Faceless Dellbelphine 4850 (U: 5000, M: 150, 3.00%)"
00:44.292,"General Vezax Mark of the Faceless Apraxial 4656 (U: 5000, M: 344, 6.88%)"
00:44.292,"General Vezax Mark of the Faceless Shambby 4850 (U: 5000, M: 150, 3.00%)"
00:44.292,"General Vezax Mark of the Faceless Padparadcha 4850 (U: 5000, M: 150, 3.00%)"
00:49.240,General Vezax's Mark of the Faceless  fades from Droob
01:02.021,Padparadcha is afflicted by  Mark of the Faceless  from General Vezax
01:04.729,"General Vezax Mark of the Faceless Apraxial (A: 4656) (U: 5000, M: 344, 6.88%)"
01:04.729,"General Vezax Mark of the Faceless Droob (A: 4850) (U: 5000, M: 150, 3.00%)"
01:04.729,"General Vezax Mark of the Faceless Dellbelphine (A: 4850) (U: 5000, M: 150, 3.00%)"
01:04.729,"General Vezax Mark of the Faceless Shambby (A: 4850) (U: 5000, M: 150, 3.00%)"
01:11.993,General Vezax's Mark of the Faceless  fades from Padparadcha
